date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:57	97222/97222	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Sep%202024%2021:45:40%20GMT	https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html	(from )
18:08:59	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Jan%202023%2013:37:45%20GMT	https://www.okler.net/robots.txt		(from )
18:08:59	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2016%20Aug%202023%2017:38:58%20GMT	https://www.okler.net/previews/porto/12.0.0/img/favicon.ico	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/img/favicon.ico	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
18:08:59	1608/1608	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2017:38:58%20GMT	https://www.okler.net/previews/porto/12.0.0/img/apple-touch-icon.png	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/img/apple-touch-icon.png	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
18:09:00	232803/232803	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202024%2018:55:00%20GMT	https://www.okler.net/previews/porto/12.0.0/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/vendor/bootstrap/css/bootstrap.min.css	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
18:09:00	96518/96518	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202024%2018:55:00%20GMT	https://www.okler.net/previews/porto/12.0.0/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/vendor/fontawesome-free/css/all.min.css	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
18:09:00	70598/70598	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202024%2018:55:00%20GMT	https://www.okler.net/previews/porto/12.0.0/vendor/animate/animate.compat.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/vendor/animate/animate.compat.css	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
18:09:00	10955/10955	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202024%2018:55:00%20GMT	https://www.okler.net/previews/porto/12.0.0/vendor/simple-line-icons/css/simple-line-icons.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/vendor/simple-line-icons/css/simple-line-icons.min.css	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
18:09:01	3351/3351	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202024%2018:55:00%20GMT	https://www.okler.net/previews/porto/12.0.0/vendor/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
18:09:01	1013/1013	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202024%2018:55:00%20GMT	https://www.okler.net/previews/porto/12.0.0/vendor/owl.carousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/12.0.0/vendor/owl.carousel/assets/owl.theme.default.min.css	(from https://www.okler.net/previews/porto/12.0.0/demo-cleaning-services.html)
