date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:36	4867/4867	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2010:06:38%20GMT	https://www.techpile.in/robots.txt		(from )
15:52:36	130868/130868	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202024%2010:06:38%20GMT	https://www.techpile.in/	C:/My%20Web%20Sites/Templates/www.techpile.in/index.html	(from )
15:52:37	156/156	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2010:06:38%20GMT	https://www.techpile.in/register	C:/My%20Web%20Sites/Templates/www.techpile.in/register.0.delayed	(from https://www.techpile.in/)
15:52:37	165/165	---M--	200	added ('OK')	text/html	etag:%220d74ba12766d91:0%22	https://www.techpile.in/register/	C:/My%20Web%20Sites/Templates/www.techpile.in/register/index.html	(from https://www.techpile.in/)
15:52:37	17159/17159	---M--	200	added ('OK')	image/png	etag:%2209f676d5130d61:0%22	https://www.techpile.in/Content/img/icon.png	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/img/icon.png	(from https://www.techpile.in/)
15:52:38	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%227cc40c199d128af6b01e74a28c5900b0%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/Templates/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://www.techpile.in/)
15:52:38	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/Templates/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://www.techpile.in/)
15:52:40	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	C:/My%20Web%20Sites/Templates/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://www.techpile.in/)
15:52:42	70523/70523	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-1137b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.css	C:/My%20Web%20Sites/Templates/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.css	(from https://www.techpile.in/)
15:52:42	257551/257551	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3ee0f%22	https://code.jquery.com/jquery-2.2.4.js	C:/My%20Web%20Sites/Templates/code.jquery.com/jquery-2.2.4.js	(from https://www.techpile.in/)
15:52:43	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/My%20Web%20Sites/Templates/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://www.techpile.in/)
15:52:44	42/42	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%222a-+qZmE4PBjpcIx6eKLKgVHvRsMGY%22	https://cdn.jsdelivr.net/npm/popperjs/core@2.9.3/dist/umd/popper.min.js	C:/My%20Web%20Sites/Templates/cdn.jsdelivr.net/npm/popperjs/core@2.9.3/dist/umd/popper.min.8.delayed	(from https://www.techpile.in/)
15:52:44	60044/60044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202d223393e00c273efdcb1ade8f4f8b1%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/My%20Web%20Sites/Templates/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://www.techpile.in/)
15:52:44	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/Templates/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://www.techpile.in/)
15:52:45	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/My%20Web%20Sites/Templates/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://www.techpile.in/)
15:52:45	26364/26364	---M--	200	added ('OK')	text/css	etag:%2256e0ce4a5374da1:0%22	https://www.techpile.in/Content/css/new.css	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/css/new.css	(from https://www.techpile.in/)
15:52:45	8704/8704	---M-Z	200	added ('OK')	application/javascript	etag:%220805d735130d61:0%22	https://www.techpile.in/Content/js/mainAj.js	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/js/mainAj.js	(from https://www.techpile.in/)
15:52:53	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%228be700ece8699a7c3f7a870ee2840cdf%22	https://use.fontawesome.com/1744f3f671.js	C:/My%20Web%20Sites/Templates/use.fontawesome.com/1744f3f671.js	(from https://www.techpile.in/)
15:52:53	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%2265999b45-20c%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	C:/My%20Web%20Sites/Templates/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://www.techpile.in/)
15:52:53	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%2265999b46-286a%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	C:/My%20Web%20Sites/Templates/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://www.techpile.in/)
15:52:53	3170/3170	---M--	200	added ('OK')	text/css	etag:%22018d4695130d61:0%22	https://www.techpile.in/Content/css/skin/color1.css	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/css/skin/color1.css	(from https://www.techpile.in/)
15:52:54	86658/86658	---M-Z	200	added ('OK')	application/javascript	etag:%220805d735130d61:0%22	https://www.techpile.in/Content/js/jquery.min.js	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/js/jquery.min.js	(from https://www.techpile.in/)
15:52:54	15615/15615	---M--	200	added ('OK')	text/css	etag:%22018d4695130d61:0%22	https://www.techpile.in/Content/css/layerslider.css	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/css/layerslider.css	(from https://www.techpile.in/)
15:52:56	73018/73018	---M--	200	added ('OK')	text/css	etag:%22fc1804d5374da1:0%22	https://www.techpile.in/Content/css/mainAj.css	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/css/mainAj.css	(from https://www.techpile.in/)
15:52:56	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/My%20Web%20Sites/Templates/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://www.techpile.in/)
15:52:56	3317/3317	---M-Z	200	added ('OK')	application/javascript	etag:%22093b2db5b8ad81:0%22	https://www.techpile.in/Scripts/techpile.js	C:/My%20Web%20Sites/Templates/www.techpile.in/Scripts/techpile.js	(from https://www.techpile.in/)
15:52:57	39180/39180	---M--	200	added ('OK')	image/png	etag:%2209f676d5130d61:0%22	https://www.techpile.in/Content/img/logo.png	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/img/logo.png	(from https://www.techpile.in/)
15:52:57	45751/45751	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202024%2010:06:59%20GMT	https://www.techpile.in/digital-certificate/	C:/My%20Web%20Sites/Templates/www.techpile.in/digital-certificate/index.html	(from https://www.techpile.in/)
15:52:58	37438/37438	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202024%2010:06:59%20GMT	https://www.techpile.in/about-us/	C:/My%20Web%20Sites/Templates/www.techpile.in/about-us/index.html	(from https://www.techpile.in/)
15:52:58	140055/140055	---M--	200	added ('OK')	text/css	etag:%22089eef5707dd91:0%22	https://www.techpile.in/Content/css/all.css	C:/My%20Web%20Sites/Templates/www.techpile.in/Content/css/all.css	(from https://www.techpile.in/)
15:52:58	382008/382008	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202024%2010:06:59%20GMT	https://www.techpile.in/our-placement/	C:/My%20Web%20Sites/Templates/www.techpile.in/our-placement/index.html	(from https://www.techpile.in/)
